"Relation
ID ",Domain ,"ID of
domain ",Name ,"ID of
range ",Range ,"Inverse relation ID
and name"
RiC-R042 ,Person ,RiC-E08 ,is or was leader of ,RiC-E09 ,Group ,"RiC-R042i has or had
leader"
"RiC-
R055i ",Person ,RiC-E08 ,"is or was member
of ",RiC-E09 ,Group ,"RiC-R055 has or had
member"
RiC-R054 ,Person ,RiC-E08 ,"occupies or
occupied ",RiC-E12 ,Position ,"RiC-R054i is or was
occupied by"
"RiC-
R070i ",Person ,RiC-E08 ,has birth date ,RiC-E18 ,Date ,"RiC-R070 is birth date
of"
"RiC-
R072i ",Person ,RiC-E08 ,has death date ,RiC-E18 ,Date ,"RiC-R072 is death
date of"
"RiC-
R079i","Person;
Group;
Position","RiC-E08;
RiC-E09;
RiC-E012",is author of ,RiC-E04 ,Record ,RiC-R079 has author
RiC-R037,"Person;
Group;
Position","RiC-E08;
RiC-E09;
RiC-E12",is or was owner of ,RiC-E01 ,Thing ,"RiC-R037i has or had
owner"
RiC-R040 ,Agent,"RiC-E08;
RiC-E09;
RiC-E12","is or was holder of
intellectual
property rights of","RiC-E02;
RiC-E06","Record
Resource;
Instantiation","RiC-R040i has or had
intellectual property
rights holder"
"RiC-
R042i ",Group ,RiC-E09 ,has or had leader ,RiC-E08 ,Person ,"RiC-R042 is or was
leader of"
RiC-R055 ,Group ,RiC-E09 ,has or had member ,RiC-E08 ,Person ,"RiC-R055i is or was
member of"
RiC-R005 ,Group ,RiC-E09 ,"has or had
subdivision ",RiC-E09 ,Group ,"RiC-R005i is or was
subdivision of"
"RiC-
R005i ",Group ,RiC-E09 ,"is or was
subdivision of ",RiC-E09 ,Group ,"RiC-R005 has or had
subdivision"
"RiC-
R056i ",Group ,RiC-E09 ,has or had position ,RiC-E12 ,Position ,"RiC-R056 exists or
existed in"
"RiC-
R054i ",Position ,RiC-E12 ,"is or was occupied
by ",RiC-E08 ,Person ,"RiC-R054 occupies or
occupied"
RiC-R056 ,Position ,RiC-E12 ,exists or existed in ,RiC-E09 ,Group ,"RiC-R056i had or has
position"
RiC-R059 ,Event ,RiC-E14 ,affects or affected ,RiC-E01 ,Thing ,"RiC-R059i is or was
affected by"
RiC-R058 ,Event ,RiC-E14 ,"has or had
participant ",RiC-E01 ,Thing ,"RiC-R058i is or was
participant in"
RiC-R057 ,Event ,RiC-E14 ,"is event associated
with ",RiC-E01 ,Thing ,"RiC-R057i is
associated with event"
RiC-R061 ,Event ,RiC-E14 ,"results or resulted
in ",RiC-E01 ,Thing ,"RiC-R061i results or
resulted from"
RiC-R006 ,Event ,RiC-E14 ,"has or had
subevent ",RiC-E14 ,Event ,"RiC-R006i is or was
subevent of"
"RiC-
R006i ",Event ,RiC-E14 ,"is or was subevent
of ",RiC-E14 ,Event ,"RiC-R006 has or had
subevent"
"RiC-
R033i ",Activity ,RiC-E15 ,documented by ,"RiC-E02;
RiC-E06","Record
Resource;
Instantiation",RiC-R033 documents
RiC-R060 ,Activity ,RiC-E15 ,"is or was
performed by ",RiC-E07 ,Agent ,"RiC-R060i performs
or performed"
RiC-R062 ,Rule ,RiC-E16 ,"is rule associated
with ",RiC-E01 ,Thing ,"RiC-R062i is
associated with rule"
RiC-R063 ,Rule ,RiC-E16 ,"regulates or
regulated ",RiC-E01 ,Thing ,"RiC-R063i is or was
regulated by"
RiC-R064 ,Rule ,RiC-E16 ,"is or was expressed
by ",RiC-E02 ,"Record
Resource","RiC-R064i expresses
or expressed"
RiC-R066 ,Rule ,RiC-E16 ,"is or was enforced
by ",RiC-E07 ,Agent,"RiC-R066i is or was
responsible for
enforcing"
RiC-R065 ,Rule ,RiC-E16 ,issued by ,RiC-E07 ,Agent,"RiC-R065i is
responsible for
issuing"
RiC-R067 ,Mandate ,RiC-E17 ,authorizes ,RiC-E07 ,Agent ,"RiC-R067i authorized
by"
RiC-R069 ,Date ,RiC-E18 ,is beginning date of ,RiC-E01 ,Thing ,"RiC-R069i has
beginning date"
